Session primary channel group (Default channel group),Date + hour (YYYYMMDDHH),Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count
Organic Social,2024043000,102,166,63,20.04,0.62,3.89,0.38,645
Organic Social,2024050118,102,136,75,39.24,0.74,4.68,0.55,636
Organic Social,2024050311,102,125,74,37.6,0.73,4.61,0.59,576
Organic Social,2024041521,101,125,59,68.22,0.58,5.12,0.47,640
Organic Social,2024042218,101,117,72,68.64,0.71,5.22,0.62,611
Organic Social,2024042514,101,125,72,38.51,0.71,4.66,0.58,582
Organic Social,2024042615,101,128,71,65.98,0.7,5.3,0.55,678
Organic Social,2024040815,100,125,70,58.94,0.7,4.9,0.56,612
Organic Social,2024041819,100,124,78,39.16,0.78,4.19,0.63,519
Organic Social,2024042214,100,122,71,89.3,0.71,5.29,0.58,645
Organic Social,2024042413,100,124,78,57.82,0.78,4.63,0.63,574
Organic Social,2024042519,100,135,60,27.31,0.6,4.25,0.44,574
Organic Social,2024042821,100,118,70,55.97,0.7,6.16,0.59,727
Organic Social,2024043014,100,113,70,56.35,0.7,5.1,0.62,576
Organic Social,2024050214,100,114,76,50.78,0.76,4.82,0.67,549
Organic Social,2024040722,99,116,60,28.13,0.61,5.05,0.52,586
Organic Social,2024041212,99,117,67,107.43,0.68,5.01,0.57,586
Organic Social,2024041710,99,125,69,27.4,0.7,4.25,0.55,531
Organic Social,2024042312,99,122,66,69.27,0.67,5.5,0.54,671
Organic Social,2024042314,99,114,73,72.97,0.74,6.04,0.64,688
Organic Social,2024050123,99,127,73,31.29,0.74,5.32,0.57,676
Organic Social,2024040619,98,134,63,77.57,0.64,4.39,0.47,588
Organic Social,2024041320,98,108,69,77.43,0.7,5.29,0.64,571
Organic Social,2024041520,98,125,63,42.35,0.64,4.2,0.5,525
Organic Social,2024042612,98,112,74,93.02,0.76,5.67,0.66,635
Organic Social,2024042823,98,121,69,73.28,0.7,6.69,0.57,809
Direct,2024041119,97,103,48,28.02,0.49,4.34,0.47,447
Direct,2024042123,97,114,52,52.75,0.54,5.23,0.46,596
Organic Social,2024041421,97,106,66,43.98,0.68,5.11,0.62,542
Organic Social,2024042315,97,115,71,70.37,0.73,6.03,0.62,694
Organic Social,2024042415,97,125,70,43.17,0.72,4.29,0.56,536
Organic Social,2024042916,97,127,73,67.45,0.75,5,0.57,635
Organic Social,2024050315,97,122,71,37.3,0.73,4.83,0.58,589
Organic Social,2024041115,96,132,68,42.42,0.71,4.54,0.52,599
Organic Social,2024041512,96,103,57,41.11,0.59,4.75,0.55,489
Organic Social,2024041620,96,115,67,68.3,0.7,5.43,0.58,625
Organic Social,2024042319,96,123,62,57.42,0.65,5.55,0.5,683
Organic Social,2024042418,96,125,70,50.74,0.73,5.05,0.56,631
Organic Social,2024042822,96,112,66,64.78,0.69,7.48,0.59,838
Organic Social,2024043022,96,115,65,59.03,0.68,5.53,0.57,636
Organic Social,2024050110,96,110,58,60.28,0.6,5.22,0.53,574
Organic Social,2024041120,95,112,62,32.06,0.65,4.13,0.55,463
Organic Social,2024041423,95,113,61,45.67,0.64,5.32,0.54,601
Organic Social,2024041813,95,106,79,63.74,0.83,5.81,0.75,616
Organic Social,2024042216,95,111,61,56.05,0.64,5.73,0.55,636
Organic Social,2024042219,95,121,69,71.18,0.73,5.35,0.57,647
Organic Social,2024042313,95,114,68,105.86,0.72,5.42,0.6,618
Organic Social,2024042911,95,116,66,46.6,0.69,4.4,0.57,510
Organic Social,2024050100,95,151,51,41.74,0.54,4.36,0.34,659
Organic Social,2024050220,95,111,75,50.95,0.79,5.15,0.68,572
Organic Social,2024050312,95,123,67,55.2,0.71,4.94,0.54,608
Organic Social,2024040819,94,114,64,51.21,0.68,4.27,0.56,487
Organic Social,2024041016,94,126,58,44.64,0.62,3.89,0.46,490
Organic Social,2024041419,94,105,74,66.3,0.79,6.33,0.7,665
Organic Social,2024042915,94,120,70,57.2,0.74,5.15,0.58,618
Direct,2024041223,93,117,46,47.15,0.49,4.55,0.39,532
Organic Social,2024041816,93,127,73,64.18,0.78,5.97,0.57,758
Organic Social,2024041917,93,128,52,30.32,0.56,3.89,0.41,498
Organic Social,2024042419,93,113,70,82.5,0.75,4.96,0.62,561
Organic Social,2024042614,93,115,74,93.03,0.8,5.93,0.64,682
Organic Social,2024042717,93,117,58,43.23,0.62,4.17,0.5,488
Organic Social,2024042917,93,114,68,201.59,0.73,4.68,0.6,534
Organic Social,2024050319,93,117,61,48.82,0.66,4.64,0.52,543
Organic Search,2024042212,92,102,65,60.29,0.71,4.51,0.64,460
Organic Social,2024041015,92,120,68,52.91,0.74,5.23,0.57,628
Organic Social,2024041116,92,129,64,42.75,0.7,5.1,0.5,658
Organic Social,2024041418,92,108,64,41.78,0.7,4.85,0.59,524
Organic Social,2024041817,92,127,67,92.76,0.73,6.05,0.53,768
Organic Social,2024041821,92,115,57,42.5,0.62,4.45,0.5,512
Organic Social,2024041920,92,122,64,58.3,0.7,4.35,0.52,531
Organic Social,2024042019,92,104,61,64.13,0.66,5.71,0.59,594
Organic Social,2024042515,92,112,67,52.11,0.73,4.99,0.6,559
Organic Social,2024042618,92,114,60,100.34,0.65,4.2,0.53,479
Direct,2024041123,91,106,55,39.09,0.6,4.22,0.52,447
Direct,2024041720,91,113,53,53.58,0.58,4.47,0.47,505
Organic Social,2024040818,91,115,58,51.42,0.64,5.07,0.5,583
Organic Social,2024041600,91,148,53,21.96,0.58,4.08,0.36,604
Organic Social,2024042913,91,108,64,58.35,0.7,4.86,0.59,525
Organic Social,2024043017,91,109,57,64.04,0.63,4.66,0.52,508
Organic Social,2024050111,91,106,62,51.41,0.68,5.42,0.58,574
Organic Social,2024040820,90,116,56,46.87,0.62,4.72,0.48,548
Organic Social,2024040915,90,126,57,49.98,0.63,4.74,0.45,597
Organic Social,2024041100,90,145,53,35.46,0.59,4.03,0.37,585
Organic Social,2024041815,90,102,65,81.08,0.72,6.48,0.64,661
Organic Social,2024042321,90,107,66,41.54,0.73,4.98,0.62,533
Organic Social,2024042613,90,102,61,68.86,0.68,4.65,0.6,474
Organic Social,2024043023,90,114,54,63.81,0.6,5.5,0.47,627
Organic Social,2024040719,89,116,68,41.62,0.76,5.05,0.59,586
Organic Social,2024040720,89,115,65,69.19,0.73,5.25,0.57,604
Organic Social,2024041214,89,106,68,61.19,0.76,4.67,0.64,495
Organic Social,2024041317,89,116,56,51.45,0.63,4.44,0.48,515
Organic Social,2024041611,89,106,67,51.48,0.75,5.5,0.63,583
Organic Social,2024041811,89,104,62,71.17,0.7,5.46,0.6,568
Organic Social,2024043011,89,108,67,51.85,0.75,5.23,0.62,565
Organic Social,2024041918,88,114,50,55.1,0.57,4.51,0.44,514
Organic Social,2024042417,88,116,62,49.69,0.7,4.78,0.53,555
Organic Social,2024042523,88,112,64,61.21,0.73,4.71,0.57,527
Organic Social,2024042623,88,118,58,51.12,0.66,4.48,0.49,529
Organic Social,2024043010,88,100,66,83.41,0.75,6.32,0.66,632
Organic Social,2024043012,88,104,65,57,0.74,5.17,0.63,538
Organic Social,2024050200,88,129,49,19.79,0.56,4.37,0.38,564
Organic Social,2024050210,88,100,63,78.34,0.72,5.71,0.63,571
Organic Search,2024041819,87,99,59,35.26,0.68,3.64,0.6,360
Organic Search,2024041821,87,107,53,43.64,0.61,3.44,0.5,368
Organic Social,2024040718,87,110,50,22.91,0.57,4.08,0.45,449
Organic Social,2024040811,87,104,69,89.28,0.79,5.39,0.66,561
Organic Social,2024042210,87,105,68,74.3,0.78,5.02,0.65,527
Organic Social,2024042421,87,101,54,50.55,0.62,4.95,0.53,500
Organic Social,2024042820,87,107,57,43.97,0.66,5.25,0.53,562
Organic Social,2024050115,87,110,59,48.69,0.68,4.28,0.54,471
Organic Social,2024050309,87,104,65,64.37,0.75,5.76,0.63,599
Direct,2024041716,86,95,49,49.56,0.57,4.35,0.52,413
Direct,2024041821,86,95,55,42.48,0.64,4.62,0.58,439
Direct,2024042518,86,102,56,40.81,0.65,4.53,0.55,462
Organic Social,2024040721,86,95,58,53.97,0.67,4.59,0.61,436
Organic Social,2024041523,86,110,62,40.32,0.72,3.92,0.56,431
Organic Social,2024041616,86,112,61,50.36,0.71,4.89,0.54,548
Organic Social,2024041923,86,101,52,59.48,0.6,5.68,0.51,574
Organic Social,2024042513,86,105,62,41.27,0.72,4.92,0.59,517
Organic Social,2024040810,85,104,66,100.3,0.78,5.49,0.63,571
Organic Social,2024040813,85,116,64,57.43,0.75,4.89,0.55,567
Organic Social,2024041117,85,103,60,35.15,0.71,4.55,0.58,469
Organic Social,2024041522,85,103,59,49.64,0.69,5.02,0.57,517
Organic Social,2024041618,85,102,58,60.79,0.68,5.73,0.57,584
Organic Social,2024041919,85,116,53,38.42,0.62,4.16,0.46,482
Organic Social,2024042212,85,95,65,69.59,0.76,5.12,0.68,486
Organic Social,2024042412,85,102,65,80.18,0.76,4.95,0.64,505
Organic Social,2024042921,85,102,70,101.61,0.82,7.1,0.69,724
Organic Social,2024050113,85,106,55,55.32,0.65,4.4,0.52,466
Organic Social,2024050301,85,108,67,40.73,0.79,5.4,0.62,583
Referral,2024050211,85,95,71,207.57,0.84,7.23,0.75,687
Direct,2024041721,84,96,52,44.33,0.62,4.55,0.54,437
Direct,2024041818,84,98,44,33.63,0.52,4.14,0.45,406
Direct,2024041819,84,90,56,38.98,0.67,6.16,0.62,554
Organic Search,2024041515,84,96,49,47.33,0.58,4.33,0.51,416
Organic Search,2024041722,84,97,56,29.27,0.67,3.57,0.58,346
Organic Social,2024040611,84,111,62,50.77,0.74,4.76,0.56,528
Organic Social,2024040711,84,103,63,49.33,0.75,5.71,0.61,588
Organic Social,2024040712,84,101,62,46.29,0.74,5.51,0.61,557
Organic Social,2024041011,84,102,59,53.01,0.7,5.16,0.58,526
Organic Social,2024041420,84,94,56,79.94,0.67,6.31,0.6,593
Organic Social,2024041610,84,104,58,62.06,0.69,4.99,0.56,519
Organic Social,2024042110,84,124,49,17.46,0.58,3.82,0.4,474
Organic Social,2024042200,84,130,64,41.9,0.76,5.27,0.49,685
Referral,2024050311,84,95,73,152.94,0.87,7.92,0.77,752
Direct,2024041712,83,90,51,37.08,0.61,4.27,0.57,384
Direct,2024041714,83,90,52,55.01,0.63,4.34,0.58,391
Organic Search,2024042315,83,92,57,59.77,0.69,4.01,0.62,369
Organic Social,2024040621,83,110,50,28.67,0.6,4.15,0.45,456
Organic Social,2024041217,83,100,57,64.61,0.69,4.72,0.57,472
Organic Social,2024041415,83,101,58,47.66,0.7,4.76,0.57,481
Organic Social,2024041422,83,101,52,55.96,0.63,5.27,0.51,532
Organic Social,2024041911,83,104,57,47.29,0.69,4.73,0.55,492
Organic Social,2024042700,83,125,57,31.58,0.69,3.73,0.46,466
Organic Social,2024042720,83,102,55,41.09,0.66,4.04,0.54,412
Organic Social,2024050212,83,98,63,57.27,0.76,5.06,0.64,496
Direct,2024041513,82,99,46,28.73,0.56,4.67,0.46,462
Direct,2024042517,82,86,54,32.99,0.66,4,0.63,344
Organic Search,2024041815,82,95,58,41.59,0.71,4.09,0.61,389
Organic Search,2024041822,82,85,53,69.66,0.65,4.24,0.62,360
Organic Search,2024041911,82,95,59,48.83,0.72,3.99,0.62,379
Organic Social,2024040916,82,108,52,52.1,0.63,10.34,0.48,1117
Organic Social,2024041114,82,103,59,50.2,0.72,4.52,0.57,466
Organic Social,2024041319,82,106,64,60.68,0.78,6.2,0.6,657
Organic Social,2024041615,82,110,54,61.5,0.66,4.43,0.49,487
Organic Social,2024041921,82,110,52,53.05,0.63,4.83,0.47,531
Organic Social,2024042021,82,98,56,60.66,0.68,5.32,0.57,521
Organic Social,2024042111,82,105,53,42.08,0.65,4.49,0.5,471
Organic Social,2024042400,82,125,55,26.29,0.67,4.49,0.44,561
Organic Social,2024050112,82,102,62,54.08,0.76,4.86,0.61,496
Organic Social,2024050219,82,99,59,53.42,0.72,5.13,0.6,508
Direct,2024050122,81,96,53,76.1,0.65,4.26,0.55,409
Organic Search,2024040815,81,86,48,97.83,0.59,5.1,0.56,439
Organic Social,2024040919,81,105,54,36.07,0.67,4.61,0.51,484
Organic Social,2024041411,81,100,50,48.36,0.62,4.85,0.5,485
Organic Social,2024041417,81,93,55,42.53,0.68,4.91,0.59,457
Organic Social,2024041619,81,102,57,59.21,0.7,5.72,0.56,583
Organic Social,2024042000,81,139,58,16.4,0.72,3.59,0.42,499
Organic Social,2024042411,81,99,57,58.05,0.7,5.69,0.58,563
Organic Social,2024042509,81,108,57,40.05,0.7,4.71,0.53,509
Organic Social,2024042723,81,95,51,32.54,0.63,4.58,0.54,435
Organic Social,2024050218,81,107,59,68.78,0.73,5.62,0.55,601
Referral,2024041715,81,91,57,107.1,0.7,5.71,0.63,520
Direct,2024041718,80,96,48,67.07,0.6,4.21,0.5,404
Organic Search,2024041512,80,91,54,51.43,0.68,4.05,0.59,369
Organic Search,2024041721,80,88,45,36.88,0.56,4.33,0.51,381
Organic Search,2024041919,80,95,57,41.33,0.71,3.91,0.6,371
Organic Social,2024040613,80,97,55,50.4,0.69,5.02,0.57,487
Organic Social,2024041215,80,92,52,56.41,0.65,5.3,0.57,488
Organic Social,2024041219,80,93,53,62.86,0.66,5.17,0.57,481
Organic Social,2024041621,80,97,53,70.56,0.66,6.46,0.55,627
Organic Social,2024041914,80,95,58,42.88,0.73,4.86,0.61,462
Organic Social,2024050217,80,99,55,49.04,0.69,5.57,0.56,551
Organic Social,2024050323,80,98,58,26.2,0.73,4.33,0.59,424
Referral,2024041821,80,85,58,90.56,0.73,6.05,0.68,514
Direct,2024041521,79,99,48,39.58,0.61,4.44,0.48,440
Direct,2024041621,79,89,53,37.71,0.67,4.26,0.6,379
Direct,2024041822,79,102,46,30.37,0.58,4.74,0.45,483
Organic Search,2024040811,79,87,57,62.15,0.72,4.16,0.66,362
Organic Search,2024041514,79,90,45,57.89,0.57,3.64,0.5,328
Organic Social,2024040816,79,112,58,35.7,0.73,4.87,0.52,545
Organic Social,2024040822,79,102,57,36.67,0.72,4.08,0.56,416
Organic Social,2024041019,79,103,55,42.62,0.7,4.69,0.53,483
Organic Social,2024041118,79,89,55,44.07,0.7,4.58,0.62,408
Organic Social,2024041218,79,95,58,51.53,0.73,5.2,0.61,494
Organic Social,2024041822,79,101,61,53.97,0.77,5.56,0.6,562
Organic Social,2024041910,79,106,49,32.32,0.62,4.37,0.46,463
Organic Social,2024042322,79,105,58,53.15,0.73,5.15,0.55,541
Organic Social,2024042423,79,100,51,61.11,0.65,5.41,0.51,541
Referral,2024043016,79,89,60,101.43,0.76,6.9,0.67,614
Referral,2024050312,79,88,65,120.15,0.82,5.77,0.74,508
Direct,2024042922,78,93,42,67.14,0.54,5.35,0.45,498
Direct,2024050223,78,87,42,41.25,0.54,4.63,0.48,403
Organic Search,2024041615,78,87,52,66.11,0.67,4.25,0.6,370
Organic Search,2024041820,78,88,53,34.22,0.68,3.53,0.6,311
Organic Social,2024040713,78,91,56,48.24,0.72,5.43,0.62,494
Organic Social,2024040911,78,96,59,240,0.76,4.98,0.61,478
Organic Social,2024040917,78,105,51,28.87,0.65,4.51,0.49,474
Organic Social,2024041222,78,104,50,56.43,0.64,5.35,0.48,556
Organic Social,2024041316,78,110,54,48.42,0.69,4.54,0.49,499
Organic Social,2024041612,78,94,60,66.7,0.77,4.98,0.64,468
Organic Social,2024041814,78,94,57,73.26,0.73,5.94,0.61,558
Organic Social,2024041912,78,102,51,58.13,0.65,4.45,0.5,454
Organic Social,2024042512,78,91,52,52.54,0.67,5.35,0.57,487
Organic Social,2024042716,78,120,53,28.29,0.68,3.48,0.44,417
Organic Social,2024050314,78,91,62,69.73,0.79,5.22,0.68,475
Referral,2024043015,78,85,63,82.34,0.81,5.73,0.74,487
Referral,2024050119,78,84,62,164.46,0.79,6.24,0.74,524
Referral,2024050214,78,84,61,88.88,0.78,5.48,0.73,460
Direct,2024041820,77,89,53,49.71,0.69,5.16,0.6,459
Organic Search,2024042211,77,84,56,48.96,0.73,4.54,0.67,381
Organic Search,2024042319,77,93,56,72.56,0.73,4.19,0.6,390
Organic Search,2024043014,77,84,45,47.24,0.58,4.12,0.54,346
Organic Social,2024040715,77,95,53,55.88,0.69,4.73,0.56,449
Organic Social,2024041216,77,89,55,48.65,0.71,4.42,0.62,393
Organic Social,2024041613,77,99,62,44.9,0.81,4.82,0.63,477
Organic Social,2024042020,77,94,55,57.45,0.71,5.78,0.59,543
Organic Social,2024042211,77,98,63,89.85,0.82,5.52,0.64,541
Organic Social,2024042221,77,94,56,48.6,0.73,6.23,0.6,586
Organic Social,2024042511,77,100,57,84.28,0.74,5.14,0.57,514
Organic Social,2024042719,77,99,52,86.53,0.68,4.24,0.53,420
Organic Social,2024042721,77,101,57,43.12,0.74,4.84,0.56,489
Organic Social,2024042919,77,94,56,58.76,0.73,5.2,0.6,489
Organic Social,2024050109,77,95,50,28.2,0.65,4.71,0.53,447
Organic Social,2024050216,77,103,53,72.64,0.69,5.05,0.51,520
Referral,2024050320,77,87,56,73.79,0.73,6.66,0.64,579
Direct,2024042211,76,92,49,57.64,0.64,4.73,0.53,435
Organic Search,2024041120,76,82,46,32.82,0.61,4.06,0.56,333
Organic Search,2024041823,76,87,51,34.02,0.67,4.11,0.59,358
Organic Social,2024040800,76,108,53,38.89,0.7,4.8,0.49,518
Organic Social,2024040812,76,87,58,96.13,0.76,6.36,0.67,553
Organic Social,2024041121,76,91,48,39.43,0.63,3.93,0.53,358
Organic Social,2024041614,76,95,57,102.44,0.75,5.85,0.6,556
Organic Social,2024041800,76,125,54,29.02,0.71,4.47,0.43,559
Organic Social,2024042222,76,91,58,57.37,0.76,6.12,0.64,557
Referral,2024043022,76,88,58,47.86,0.76,5.5,0.66,484
Referral,2024050212,76,83,61,138.65,0.8,5.92,0.73,491
Direct,2024040920,75,92,39,41.96,0.52,3.5,0.42,322
Direct,2024041411,75,83,36,28.11,0.48,4.4,0.43,365
Direct,2024041515,75,90,36,29.29,0.48,3.48,0.4,313
Direct,2024041919,75,89,40,32.39,0.53,4.38,0.45,390
Organic Search,2024041212,75,87,46,50.83,0.61,3.91,0.53,340
Organic Search,2024041611,75,83,52,50.86,0.69,4.98,0.63,413
Organic Search,2024041817,75,88,53,52.59,0.71,3.69,0.6,325
Organic Search,2024042914,75,83,48,49.42,0.64,4.22,0.58,350
Organic Social,2024040620,75,98,45,34.14,0.6,3.47,0.46,340
Organic Social,2024040914,75,84,50,64.13,0.67,5.23,0.6,439
Organic Social,2024040918,75,103,50,35.38,0.67,4.18,0.49,431
Organic Social,2024041010,75,109,52,29.52,0.69,4.55,0.48,496
Organic Social,2024041412,75,92,52,59.41,0.69,5.52,0.57,508
Organic Social,2024041413,75,87,52,35.24,0.69,4.7,0.6,409
Organic Social,2024042718,75,102,43,25.84,0.57,3.91,0.42,399
Organic Social,2024042813,75,103,51,41.03,0.68,4.09,0.5,421
Organic Social,2024042816,75,89,57,51.48,0.76,4.71,0.64,419
Organic Social,2024042910,75,102,51,33.55,0.68,5.15,0.5,525
Organic Social,2024042920,75,105,61,58.54,0.81,5.93,0.58,623
Organic Social,2024050116,75,97,55,88.75,0.73,4.84,0.57,469
Organic Social,2024050211,75,88,59,110.76,0.79,7.11,0.67,626
Direct,2024041711,74,90,46,42.51,0.62,5,0.51,450
Direct,2024041816,74,94,45,38.29,0.61,4.02,0.48,378
Direct,2024041823,74,87,32,22.11,0.43,3.43,0.37,298
Direct,2024042519,74,88,48,35.06,0.65,4.06,0.55,357
Direct,2024042522,74,81,44,24.23,0.59,4.51,0.54,365
Organic Search,2024041213,74,83,50,39.13,0.68,4.01,0.6,333
Organic Search,2024041715,74,87,55,37,0.74,3.85,0.63,335
Organic Search,2024041718,74,83,53,34.04,0.72,4.33,0.64,359
Organic Social,2024041014,74,94,53,51.84,0.72,5.55,0.56,522
Organic Social,2024041213,74,89,47,45.99,0.64,4.64,0.53,413
Organic Social,2024041414,74,89,57,73.34,0.77,6.25,0.64,556
Organic Social,2024041812,74,90,56,63.57,0.76,5.18,0.62,466
Organic Social,2024042017,74,96,62,110.55,0.84,7.23,0.65,694
Organic Social,2024042117,74,89,48,42.11,0.65,4.98,0.54,443
Organic Social,2024042320,74,101,53,59.24,0.72,6.11,0.52,617
Organic Social,2024042420,74,89,56,86.74,0.76,5.31,0.63,473
Organic Social,2024042600,74,91,50,42.34,0.68,4.6,0.55,419
Organic Social,2024042714,74,91,51,51.41,0.69,4.97,0.56,452
